To make a prusa2 Rep Rap printer you will need:

bar-clamp                x8
frame-vertex-foot        x4
frame-vertex             x2
ybrac-t                  x1
pulley                   x2
belt-clamp               x4
belt-clamp-nut-holder    x2
bearing-guide            x3
y-bushing                x4
x-end-idler              x1
x-end-motor              x1
x-carriage               x1
coupling                 x2
endstop-holder           x3
jonaskuehling_gregs-wade x1
biggearmod_fixed         x1
smallgearmod_fixed       x1
zmotor_fixed             x2
